 #   time                Position                 Velocity
   12.7000122       209.67897619159544       -124.46000185459827     
   12.8000126       197.18397581720751       -125.44000186920141     
   12.9000130       184.59097543989895       -126.42000188380455     
   13.0000134       171.89997505966977       -127.40000189840768     
   13.1000137       159.11097467651996       -128.38000191301083     
   13.2000141       146.22397429044952       -129.36000192761398     
   13.3000145       133.23897390145845       -130.34000194221713     
   13.4000149       120.15597350954675       -131.32000195682028     
   13.5000153       106.97497311471443       -132.30000197142343     
   13.6000156       93.695972716961478       -133.28000198602658     
   13.7000160       80.318972316287898       -134.26000200062973     
   13.8000164       66.843971912693675       -135.24000201523288     
   13.9000168       53.270971506178839       -136.22000202983602     
   14.0000172       39.599971096743374       -137.20000204443917     
   14.1000175       25.830970684387278       -138.18000205904232     
   14.2000179       11.963970269110552       -139.16000207364547     
