 #   time                Position                 Velocity
   0.00000000       1000.0000000000000        0.0000000000000000     
  0.100000001       999.95099999653178      -0.98000001460313801     
  0.200000003       999.80399999014298       -1.9600000292062760     
  0.300000012       999.55899998083351       -2.9400000438094143     
  0.400000006       999.21599996860346       -3.9200000584125521     
  0.500000000       998.77499995345272       -4.9000000730156898     
  0.600000024       998.23599993538141       -5.8800000876188276     
  0.700000048       997.59899991438942       -6.8600001022219654     
  0.800000072       996.86399989047686       -7.8400001168251032     
  0.900000095       996.03099986364361       -8.8200001314282410     
   1.00000012       995.09999983388980       -9.8000001460313797     
   1.10000014       994.07099980121529       -10.780000160634518     
   1.20000017       992.94399976562022       -11.760000175237657     
   1.30000019       991.71899972710446       -12.740000189840796     
   1.40000021       990.39599968566813       -13.720000204443934     
   1.50000024       988.97499964131111       -14.700000219047073     
   1.60000026       987.45599959403353       -15.680000233650212     
   1.70000029       985.83899954383526       -16.660000248253350     
   1.80000031       984.12399949071641       -17.640000262856489     
   1.90000033       982.31099943467689       -18.620000277459628     
   2.00000024       980.39999937571679       -19.600000292062767     
   2.10000014       978.39099931383601       -20.580000306665905     
   2.20000005       976.28399924903465       -21.560000321269044     
   2.29999995       974.07899918131261       -22.540000335872183     
   2.39999986       971.77599911067000       -23.520000350475321     
   2.49999976       969.37499903710670       -24.500000365078460     
   2.59999967       966.87599896062284       -25.480000379681599     
   2.69999957       964.27899888121829       -26.460000394284737     
   2.79999948       961.58399879889316       -27.440000408887876     
   2.89999938       958.79099871364735       -28.420000423491015     
   2.99999928       955.89999862548098       -29.400000438094153     
   3.09999919       952.91099853439391       -30.380000452697292     
   3.19999909       949.82399844038628       -31.360000467300431     
   3.29999900       946.63899834345796       -32.340000481903566     
   3.39999890       943.35599824360906       -33.320000496506701     
   3.49999881       939.97499814083949       -34.300000511109836     
   3.59999871       936.49599803514934       -35.280000525712971     
   3.69999862       932.91899792653851       -36.260000540316106     
   3.79999852       929.24399781500711       -37.240000554919241     
   3.89999843       925.47099770055502       -38.220000569522377     
   3.99999833       921.59999758318236       -39.200000584125512     
   4.09999847       917.63099746288901       -40.180000598728647     
   4.19999838       913.56399733967510       -41.160000613331782     
   4.29999828       909.39899721354050       -42.140000627934917     
   4.39999819       905.13599708448533       -43.120000642538052     
   4.49999809       900.77499695250947       -44.100000657141187     
